Binomial,Family,Order,Location,Date,Pathway,InvasionStage,References
Alces alces,Cervidae,Cetartiodactyla,Canada,1904,Hunting,Invasive,"Long 2003, McLaren et al. 2004, Hearn et al. 2006, Gosse et al. 2011, Strong & Leroux 2014"
Ammotragus lervia,Bovidae,Cetartiodactyla,Mexico,1950,"Hunting, Zoo",Invasive,"Long 2003, Cassinello 2015, Mori et al. 2017"
Ammotragus lervia,Bovidae,Cetartiodactyla,United States of America,1950,"Hunting, Zoo",Invasive,"Long 2003, Cassinello 2015, Mori et al. 2017"
Ammotragus lervia,Bovidae,Cetartiodactyla,Canary Islands,1972,Conservation,Invasive,"Long 2003, Cassinello 2015, Mori et al. 2017"
Ammotragus lervia,Bovidae,Cetartiodactyla,Italy,1993,"Hunting, Ornamental Purposes",Established,"Cassinello 2015, Mori et al. 2017"
Ammotragus lervia,Bovidae,Cetartiodactyla,Croatia,1995,"Fauna Improvement, Hunting",Established,"Cassinello 2015, Mori et al. 2017"
Ammotragus lervia,Bovidae,Cetartiodactyla,Spain,1970,"Conservation, Zoo",Invasive,"Long 2003, Cassinello 2015, Mori et al. 2017"
Antilope cervicapra,Bovidae,Cetartiodactyla,Cuba,1985,Hunting,Established,"Borroto-Páez 2009, Borroto-Páez & Mancina 2017"
Antilope cervicapra,Bovidae,Cetartiodactyla,Argentina,1906,Hunting,Invasive,"Long 2003, Novillo & Ojeda 2008, Csurhes & Fisher 2016"
Antilope cervicapra,Bovidae,Cetartiodactyla,Uruguay,1906,Hunting,Invasive,"Long 2003, Novillo & Ojeda 2008, Csurhes & Fisher 2016"
Antilope cervicapra,Bovidae,Cetartiodactyla,United States of America,1932,Hunting,Invasive,"Long 2003, Simberloff & Rejmánek 2011, Csurhes & Fisher 2016"
Apodemus sylvaticus,Muridae,Rodentia,Balearic Islands,-2200,Stowaway (L),Established,"Traveset et al. 2009, Schlitter et al. 2016"
Apodemus sylvaticus,Muridae,Rodentia,Sardinia,-5000,Stowaway (L),Established,"Vigne 1992, Gippoliti & Amori 2006, Schlitter et al. 2016"
Apodemus sylvaticus,Muridae,Rodentia,Balearic Islands,-2200,Stowaway (L),Established,Traveset et al. 2009
Apodemus sylvaticus,Muridae,Rodentia,Corsica,-5000,Stowaway (L),Established,"Vigne 1992, Gippoliti & Amori 2006, Schlitter et al. 2016"
Apodemus sylvaticus,Muridae,Rodentia,Italy,-5000,Stowaway (L),Established,Gippoliti & Amori 2006
Apodemus sylvaticus,Muridae,Rodentia,Ireland,-6000,Stowaway (L),Established,"Montgomery et al. 2011, Schlitter et al. 2016, Herman et al. 2017, INBDC 2018a, NBN 2019a"
Apodemus sylvaticus,Muridae,Rodentia,Iceland,-1100,Stowaway (L),Established,"Bengtson et al. 1989, Schlitter et al. 2016, Herman et al. 2017, IINH 2019"
Apodemus sylvaticus,Muridae,Rodentia,Algeria,-7500,Stowaway (L),Established,"Lalis et al. 2016, Schlitter et al. 2016, Herman et al. 2017"
