gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2566053591	da3542b4-9a73-4054-b9a3-2d762e172199	24f92b59-c073-4b22-b995-4212b751c73f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma collariatum		SPECIES	Hebeloma collariatum Bruchet	Hebeloma collariatum Bruchet	Bruchet	CL	Chile		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1996-01-01T00:00:00			1996	6014898	6014898	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.949Z		
2566053590	da3542b4-9a73-4054-b9a3-2d762e172199	9a679427-28b0-47e0-aef3-cd0a3c1a3490	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	Chlorophyllum molybdites		SPECIES	Chlorophyllum molybdites (G.Mey.) Massee	Chlorophyllum molybdites (G. Mey.) Massee	(G. Mey.) Massee	CY	Cyprus		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5243168	5243168	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.838Z		
2566053589	da3542b4-9a73-4054-b9a3-2d762e172199	df2f6d07-0cc9-4558-8430-fdb56aea25af	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	PG	Papua New Guinea		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.005Z		
2566053588	da3542b4-9a73-4054-b9a3-2d762e172199	d2d7e388-4648-499b-8de3-663b763a7c13	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus cavipes		SPECIES	Suillus cavipes (Klotzsch) A.H.Sm. & Thiers	Suillus cavipes (Klotzsch) A.H. Sm. & Thiers	(Klotzsch) A.H. Sm. & Thiers	DE	Germany		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5239851	5239851	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.950Z		
2566053587	da3542b4-9a73-4054-b9a3-2d762e172199	42d8a4c3-c199-4789-bfbb-3a000dd5ada9	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	NZ	New Zealand		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.399Z		
2566053586	da3542b4-9a73-4054-b9a3-2d762e172199	54ea06ec-da67-43a1-a2ff-fe950c782fda	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Leccinum	Leccinum scabrum		SPECIES	Leccinum scabrum (Bull.) Gray	Leccinum scabrum (Bull.) Gray	(Bull.) Gray	CA	Canada		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1952-01-01T00:00:00			1952	9141390	9141390	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.192Z		
2566053585	da3542b4-9a73-4054-b9a3-2d762e172199	3ae5c19c-25d9-4cce-b21f-e0bce49b5a13	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	UY	Uruguay		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1924-01-01T00:00:00			1924	2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.773Z		
2566053584	da3542b4-9a73-4054-b9a3-2d762e172199	fc7bc4e6-51d1-487a-be51-97c61b1a0f1b	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Descolea	Descolea alba		SPECIES	Hymenangium album Klotzsch	Hymenangium album Klotzsch	Klotzsch	ES	Spain		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									2005-01-01T00:00:00			2005	2528589	9668990	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.943Z		
2566053583	da3542b4-9a73-4054-b9a3-2d762e172199	51f2ecc8-9d8f-4aa2-8804-375cb255eece	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria proxima		SPECIES	Laccaria proxima (Boud.) Pat.	Laccaria proxima (Boud.) Pat.	(Boud.) Pat.	BR	Santa Catarina		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2530966	2530966	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.101Z		
2566053582	da3542b4-9a73-4054-b9a3-2d762e172199	0ce6b9dd-1a03-4c28-8c42-175c3c679cdd	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita phalloides		SPECIES	Amanita phalloides (Vaill. ex Fr.) Link	Amanita phalloides (Vaill. ex Fr.) Link	(Vaill. ex Fr.) Link	US	Washington		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1909-01-01T00:00:00			1909	5240325	5240325	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.005Z		
2566053581	da3542b4-9a73-4054-b9a3-2d762e172199	291d6be5-28d4-4986-b2c4-470d0aec4811	Fungi	Basidiomycota	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Plicaturopsis	Plicaturopsis crispa		SPECIES	Plicatura crispa (Pers.) Rea	Plicatura crispa (Pers.) Rea	(Pers.) Rea	PL	Poland		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1899-01-01T00:00:00			1899	2526733	2526725	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.044Z		
