species,status,region,note
Aphaenogaster splendida,established.outdoors,Aegean Islands,""
Tapinoma simrothi,established.outdoors,Aegean Islands,""
Tetramorium immigrans,established.outdoors,Aegean Islands,""
Solenopsis invicta,established.outdoors,Aguascalientes,""
Aphaenogaster ovaticeps,native,Albania,""
Tapinoma simrothi,established.outdoors,Algeria,""
Tapinoma simrothi,established.outdoors,Balearic Islands,""
Strumigenys perplexa,established.outdoors,Channel Islands,""
Tapinoma simrothi,established.outdoors,Corsica,""
Aphaenogaster splendida,established.outdoors,Crete,""
Tapinoma simrothi,established.outdoors,Crete,""
Tetramorium immigrans,established.outdoors,Crete,""
Aphaenogaster ovaticeps,native,Croatia,""
Aphaenogaster splendida,native,Cyprus,""
Anoplolepis gracilipes,established.outdoors,Distrito Federal Mexico,""
Aphaenogaster splendida,native,Egypt,""
Syllophopsis sechellensis,established.outdoors,Florida,""
Crematogaster scutellaris,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma darioi,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma magnum,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma nigerrimum,established.outdoors,France,species is considered native and non-native in the same region
Tapinoma simrothi,established.outdoors,Greece,""
Aphaenogaster ovaticeps,native,Greece,""
Syllophopsis subcoeca,established.outdoors,Guangdong,""
Tetramorium tonganum,established.outdoors,Guangdong,""
Ooceraea biroi,established.outdoors,Hainan,""
Plagiolepis alluaudi,established.outdoors,Hainan,""
Tetramorium lanuginosum,established.outdoors,Hainan,""
Tapinoma simrothi,established.outdoors,Ionian Islands,""
Aphaenogaster ovaticeps,native,Ionian Islands,""
Aphaenogaster splendida,native,Israel and Palestine,""
Aphaenogaster ovaticeps,established.outdoors,Italy,""
Tapinoma nigerrimum,established.outdoors,Italy,""
Tapinoma simrothi,established.outdoors,Italy,""
Tetramorium insolens,established.outdoors,Jalisco,""
Tapinoma simrothi,established.outdoors,Libya,""
Aphaenogaster splendida,established.outdoors,Malta,""
Tapinoma simrothi,established.outdoors,Malta,""
Tapinoma simrothi,established.outdoors,Montenegro,""
Aphaenogaster ovaticeps,native,Montenegro,""
Tapinoma simrothi,established.outdoors,Morocco,""
Aphaenogaster splendida,established.outdoors,Pelagie Islands,""
Tapinoma simrothi,established.outdoors,Pelagie Islands,""
Tapinoma simrothi,established.outdoors,Portugal,""
Cardiocondyla emeryi,established.outdoors,Qatar,""
Tapinoma melanocephalum,established.outdoors,Qatar,""
Tapinoma simrothi,established.outdoors,Qatar,""
Cardiocondyla tjibodana,established.outdoors,Queensland,""
Aphaenogaster splendida,established.outdoors,Sardinia,""
Tapinoma simrothi,established.outdoors,Sardinia,""
Aphaenogaster splendida,established.outdoors,Sicily,""
Tapinoma simrothi,established.outdoors,Sicily,""
Aphaenogaster senilis,established.outdoors,Slovakia,""
Linepithema iniquum,established.outdoors,Sonora,""
Gnamptogenys triangularis,established.outdoors,South Carolina,""
Strumigenys silvestrii,established.outdoors,South Carolina,""
Trichomyrmex mayri,established.outdoors,South Western Australia,""
Aphaenogaster splendida,established.outdoors,Spain,""
Tapinoma simrothi,established.outdoors,Spain,""
Syllophopsis australica,established.outdoors,Sri Lanka,""
Cardiocondyla minutior,established.outdoors,Sulawesi,""
Aphaenogaster splendida,native,Syria,""
Nylanderia flavipes,established.outdoors,Tamaulipas,""
Tapinoma simrothi,established.outdoors,Tunisia,""
Aphaenogaster splendida,native,Turkey,""
Tapinoma simrothi,established.outdoors,Tuscan Archipelago,""
Strumigenys membranifera,established.outdoors,Vietnam,""
Monomorium floricola,established.outdoors,Acre,""
Monomorium pharaonis,established.outdoors,Acre,""
Nylanderia fulva,established.outdoors,Acre,""
Paratrechina longicornis,established.outdoors,Acre,""
Tapinoma melanocephalum,established.outdoors,Acre,""
Tetramorium bicarinatum,established.outdoors,Acre,""
Brachymyrmex heeri,native,Acre,""
Brachymyrmex patagonicus,native,Acre,""
Camponotus atriceps,native,Acre,""
Camponotus novogranadensis,native,Acre,""
Camponotus sexguttatus,native,Acre,""
Cyphomyrmex rimosus,native,Acre,""
Cyphomyrmex salvini,native,Acre,""
Gnamptogenys triangularis,native,Acre,""
Nylanderia guatemalensis,native,Acre,""
Odontomachus bauri,native,Acre,""
Odontomachus haematodus,native,Acre,""
Pachycondyla harpax,native,Acre,""
Pseudomyrmex elongatus,native,Acre,""
Pseudomyrmex gracilis,native,Acre,""
Pseudoponera stigma,native,Acre,""
Solenopsis geminata,native,Acre,""
Solenopsis globularia,native,Acre,""
Solenopsis invicta,native,Acre,""
Solenopsis saevissima,native,Acre,""
Strumigenys eggersi,native,Acre,""
Wasmannia auropunctata,native,Acre,""
Cardiocondyla mauritanica,established.outdoors,Aegean Islands,""
Hypoponera punctatissima,established.outdoors,Aegean Islands,""
Lasius neglectus,established.outdoors,Aegean Islands,""
Lepisiota syriaca,established.outdoors,Aegean Islands,""
Monomorium bicolor,established.outdoors,Aegean Islands,""
Nylanderia jaegerskioeldi,established.outdoors,Aegean Islands,""
Paratrechina longicornis,established.outdoors,Aegean Islands,""
Pheidole indica,established.outdoors,Aegean Islands,""
Camponotus fallax,native,Aegean Islands,""
Camponotus vagus,native,Aegean Islands,""
Cataglyphis nodus,native,Aegean Islands,""
Crematogaster scutellaris,native,Aegean Islands,""
Crematogaster sordidula,native,Aegean Islands,""
Formica rufibarbis,native,Aegean Islands,""
Hypoponera eduardi,native,Aegean Islands,""
Lasius alienus,native,Aegean Islands,""
Lasius emarginatus,native,Aegean Islands,""
Lasius flavus,native,Aegean Islands,""
Lepisiota frauenfeldi,native,Aegean Islands,""
Messor structor,native,Aegean Islands,""
Monomorium monomorium,native,Aegean Islands,""
Monomorium subopacum,native,Aegean Islands,""
Pheidole pallidula,native,Aegean Islands,""
Plagiolepis pygmaea,native,Aegean Islands,""
Ponera coarctata,native,Aegean Islands,""
Solenopsis fugax,native,Aegean Islands,""
Solenopsis orbula,native,Aegean Islands,""
Temnothorax unifasciatus,native,Aegean Islands,""
Tetramorium caespitum,native,Aegean Islands,""
Tetramorium semilaeve,native,Aegean Islands,""
Tapinoma melanocephalum,established.outdoors,Afghanistan,""
Trichomyrmex destructor,established.outdoors,Afghanistan,""
Camponotus compressus,native,Afghanistan,""
Camponotus sericeus,native,Afghanistan,""
Cardiocondyla mauritanica,native,Afghanistan,""
Cataglyphis nodus,native,Afghanistan,""
Crematogaster subdentata,native,Afghanistan,""
Lasius niger,native,Afghanistan,""
Lepisiota frauenfeldi,native,Afghanistan,""
Lepisiota spinisquama,native,Afghanistan,""
Messor structor,native,Afghanistan,""
Monomorium atomum,native,Afghanistan,""
Monomorium indicum,native,Afghanistan,""
Pheidole indica,native,Afghanistan,""
Plagiolepis pygmaea,native,Afghanistan,""
Solenopsis fugax,native,Afghanistan,""
Tapinoma simrothi,native,Afghanistan,""
Anoplolepis gracilipes,established.outdoors,Aguascalientes,""
Monomorium pharaonis,established.outdoors,Aguascalientes,""
Paratrechina longicornis,established.outdoors,Aguascalientes,""
