id,locality,locationID,higherGeography,higherGeographyID,recordStatus,typeStatus,establishmentMeans,invasiveness,occurrence,decimalLatitude,decimalLongitude,qualityStatus,species
154582,Belgian part of the North Sea,http://marineregions.org/mrgid/26567,Belgium,http://marineregions.org/mrgid/14,valid,,Alien,Uncertain,Established,,,trusted,Cyprinus carpio
154582,Dutch part of the North Sea,http://marineregions.org/mrgid/25232,North Sea,http://marineregions.org/mrgid/2350,valid,,Alien,Uncertain,Established,,,trusted,Cyprinus carpio
154582,Norway,http://marineregions.org/mrgid/2252,Norway,http://marineregions.org/mrgid/2252,valid,,Alien,Uncertain,Established,,,trusted,Cyprinus carpio
154582,Polish part of the Baltic Sea,http://marineregions.org/mrgid/25674,Baltic Sea,http://marineregions.org/mrgid/2401,valid,,Alien,Uncertain,Reported,,,trusted,Cyprinus carpio
154582,Portugal,http://marineregions.org/mrgid/2243,Portugal,http://marineregions.org/mrgid/2243,valid,,Alien,Uncertain,Established,,,trusted,Cyprinus carpio
154582,Swedish part of the Baltic Sea,http://marineregions.org/mrgid/25678,Baltic Sea,http://marineregions.org/mrgid/2401,valid,,Alien,Of concern,Reported,,,trusted,Cyprinus carpio
154582,Berg Rivier,http://marineregions.org/mrgid/17396,South Africa,http://marineregions.org/mrgid/2176,valid,,Alien,Invasive,Established and expanding,,,trusted,Cyprinus carpio
154582,St. Lucia,http://marineregions.org/mrgid/48924,South Africa,http://marineregions.org/mrgid/2176,valid,,Alien,Invasive,Established and expanding,,,trusted,Cyprinus carpio
154582,Argentinean part of the South Atlantic Ocean,http://marineregions.org/mrgid/25521,South Atlantic Ocean,http://marineregions.org/mrgid/1914,valid,,Alien,Not specified,Reported,,,trusted,Cyprinus carpio
154582,Uruguayan part of the South Atlantic Ocean,http://marineregions.org/mrgid/25522,South Atlantic Ocean,http://marineregions.org/mrgid/1914,valid,,Alien,Not specified,Reported,,,trusted,Cyprinus carpio
154582,United States part of the North Pacific Ocean,http://marineregions.org/mrgid/25587,North Pacific Ocean,http://marineregions.org/mrgid/1908,valid,,Alien,Not specified,Reported,,,trusted,Cyprinus carpio
276134,Australian Exclusive Economic Zone,http://marineregions.org/mrgid/8323,Australia,http://marineregions.org/mrgid/2147,valid,,Alien,Of concern,Reported,,,trusted,Gambusia holbrooki
144973,United States (Alaska) part of the Gulf of Alaska,http://marineregions.org/mrgid/25503,Gulf of Alaska,http://marineregions.org/mrgid/4312,valid,,Alien,Invasive,Reported,,,trusted,Microspongium globosum
144973,Turkey,http://marineregions.org/mrgid/2213,Türkiye,http://marineregions.org/mrgid/2213,valid,,Alien,Invasive,Reported,,,trusted,Microspongium globosum
144973,Black Sea,http://marineregions.org/mrgid/3319,Black Sea,http://marineregions.org/mrgid/3319,valid,,Alien,Uncertain,Reported,,,trusted,Microspongium globosum
144973,Mediterranean Sea Area,http://marineregions.org/mrgid/4278,,,valid,,Alien,Not specified,Reported,,,trusted,Microspongium globosum
494791,United Kingdom part of the North Sea,http://marineregions.org/mrgid/25235,North Sea,http://marineregions.org/mrgid/2350,valid,,Alien,,,,,trusted,Sargassum muticum
494791,United Kingdom part of the Celtic Sea,http://marineregions.org/mrgid/25222,Celtic Sea,http://marineregions.org/mrgid/2351,valid,,Alien,,,,,trusted,Sargassum muticum
494791,French part of the English Channel,http://marineregions.org/mrgid/25214,English Channel,http://marineregions.org/mrgid/2389,valid,,Alien,,,,,trusted,Sargassum muticum
494791,Danish Exclusive Economic Zone,http://marineregions.org/mrgid/5674,Denmark,http://marineregions.org/mrgid/2157,valid,,Alien,,,,,trusted,Sargassum muticum
494791,Norwegian part of the North Sea,http://marineregions.org/mrgid/25233,North Sea,http://marineregions.org/mrgid/2350,valid,,Alien,,,,,trusted,Sargassum muticum
494791,Swedish Exclusive Economic Zone,http://marineregions.org/mrgid/5694,Sweden,http://marineregions.org/mrgid/2180,valid,,Alien,,,,,trusted,Sargassum muticum
494791,Italy,http://marineregions.org/mrgid/2133,Italy,http://marineregions.org/mrgid/2133,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Swedish part of the Skagerrak,http://marineregions.org/mrgid/25228,Skagerrak,http://marineregions.org/mrgid/2379,valid,,Alien,Invasive,Established and expanding,,,trusted,Sargassum muticum
494791,United Kingdom part of the Celtic Sea,http://marineregions.org/mrgid/25222,Celtic Sea,http://marineregions.org/mrgid/2351,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Adriatic Sea,http://marineregions.org/mrgid/3314,Adriatic Sea,http://marineregions.org/mrgid/3314,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,Baltic sea,http://marineregions.org/mrgid/2401,Baltic Sea,http://marineregions.org/mrgid/2401,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,North Pacific,http://marineregions.org/mrgid/1908,North Pacific Ocean,http://marineregions.org/mrgid/1908,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,North Sea,http://marineregions.org/mrgid/2350,North Sea,http://marineregions.org/mrgid/2350,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,Coastal Waters of Southeast Alaska and British Columbia,http://marineregions.org/mrgid/4313,The Coastal Waters of Southeast Alaska and British Columbia,http://marineregions.org/mrgid/4313,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,North Atlantic,http://marineregions.org/mrgid/1912,North Atlantic Ocean,http://marineregions.org/mrgid/1912,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,Mediterranean Sea - Western Basin,http://marineregions.org/mrgid/4279,Mediterranean Sea - Western Basin,http://marineregions.org/mrgid/4279,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,French part of the English Channel,http://marineregions.org/mrgid/25214,English Channel,http://marineregions.org/mrgid/2389,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,United Kingdom part of the English Channel,http://marineregions.org/mrgid/25217,English Channel,http://marineregions.org/mrgid/2389,valid,,Alien,Uncertain,Reported,,,trusted,Sargassum muticum
494791,Belgian part of the North Sea,http://marineregions.org/mrgid/26567,Belgium,http://marineregions.org/mrgid/14,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Danish part of the Kattegat,http://marineregions.org/mrgid/25224,Kattegat,http://marineregions.org/mrgid/2374,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,French part of the English Channel,http://marineregions.org/mrgid/25214,English Channel,http://marineregions.org/mrgid/2389,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,German part of the North Sea,http://marineregions.org/mrgid/22762,North Sea,http://marineregions.org/mrgid/2350,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,United Kingdom part of the Inner Seas off the West Coast of Scotland,http://marineregions.org/mrgid/25178,Inner Seas off the West Coast of Scotland,http://marineregions.org/mrgid/4283,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Celtic Sea,http://marineregions.org/mrgid/2351,Celtic Sea,http://marineregions.org/mrgid/2351,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Irish part of the Inner Seas off the West Coast of Scotland,http://marineregions.org/mrgid/25177,Inner Seas off the West Coast of Scotland,http://marineregions.org/mrgid/4283,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
494791,Moroccan part of the North Atlantic Ocean,http://marineregions.org/mrgid/25322,North Atlantic Ocean,http://marineregions.org/mrgid/1912,valid,,Alien,Uncertain,Established,,,trusted,Sargassum muticum
